pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,pl_controv_flag,sy_dist
11 Com b,11 Com,323.21,1.178,12.2,4914.89848585,,,4874.0,13.76,2.09,Radial Velocity,2007.0,0,93.1846
11 UMi b,11 UMi,516.21997,1.53,12.3,4684.8142,,,4213.0,29.79,2.78,Radial Velocity,2009.0,0,125.321
14 And b,14 And,186.76,0.775,13.1,1131.15130051,,,4888.0,11.55,1.78,Radial Velocity,2008.0,0,75.4392
14 Her b,14 Her,1766.41,2.839,12.5,2828.6728223,,,5338.0,0.93,0.97,Radial Velocity,2002.0,0,17.9323
16 Cyg B b,16 Cyg B,798.5,1.66,13.5,565.7374,,,5750.0,1.13,1.08,Radial Velocity,1996.0,0,21.1397
17 Sco b,17 Sco,578.38,1.45,12.9,1373.01871824,,,4157.0,25.92,1.22,Radial Velocity,2020.0,0,124.953
18 Del b,18 Del,982.85,2.476,12.5,2926.24614325,,,4980.0,8.8,2.1,Radial Velocity,2008.0,0,76.222
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,330.0,18.647,3000.0,,1700.0,4060.0,1.31316,0.85,Imaging,2008.0,0,139.135
24 Boo b,24 Boo,30.33,0.194,13.9,280.64248338,,,4816.0,12.19,1.05,Radial Velocity,2018.0,0,95.9863
24 Sex b,24 Sex,452.8,1.333,13.4,632.46,,,5098.0,4.9,1.54,Radial Velocity,2010.0,0,72.0691
24 Sex c,24 Sex,883.0,2.08,13.9,273.32,,,5098.0,4.9,1.54,Radial Velocity,2010.0,0,72.0691
2M0437 b,2MASS J04372171+2651014,,118.0,13.0,1271.313628,,1450.0,3100.0,0.84,0.17,Imaging,2021.0,0,128.484
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,52.0,11.209,7786.5,,1600.0,3530.0,0.36645,0.4,Imaging,2013.0,0,33.8281
2MASS J03590986+2009361 b,2MASS J03590986+2009361,,572.0,12.2,5720.911326,,2369.0,2943.0,0.289776,0.264996,Imaging,2024.0,0,117.435
2MASS J11550485-7919108 b,2MASS J11550485-7919108,,587.0,12.1,6356.56814,,2506.0,3021.0,0.600455,0.58846,Imaging,2024.0,0,100.862
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,46.0,15.69257298,1652.7077164,,1163.0,2825.0,0.21887,0.188001,Imaging,2004.0,0,64.308
2MASS J19383260+4603591 b,2MASS J19383260+4603591,406.0,0.92,13.4,603.877,,,29564.0,0.203,0.48,Eclipse Timing Variations,2015.0,0,396.332
2MASS J21252752-8138278 b,2MASS J21252752-8138278,,7493.0,12.4,3813.940884,,1616.0,3592.0,0.672832,0.643977,Imaging,2024.0,0,34.1154
2MASS J22501512+2325342 b,2MASS J22501512+2325342,,518.0,11.9,9534.85221,,1600.0,3352.0,0.437589,0.433173,Imaging,2018.0,0,57.2309
4 UMa b,4 UMa,270.27,0.877,12.6,2511.48007211,,,4415.0,18.11,1.234,Radial Velocity,2006.0,0,73.4603
47 UMa b,47 UMa,1078.0,2.1,13.2,804.08,,,5872.0,1.21334,1.06,Radial Velocity,1996.0,0,13.7967
47 UMa c,47 UMa,2391.0,3.6,14.2,171.621,,,5872.0,1.21334,1.06,Radial Velocity,2001.0,0,13.7967
47 UMa d,47 UMa,14002.0,11.6,13.5,521.22,,,5872.0,1.21334,1.06,Radial Velocity,2009.0,0,13.7967
51 Eri b,51 Eri,9100.0,10.4,,3464.3296363,,807.0,7422.0,1.45,1.75,Imaging,2015.0,0,29.7575
51 Peg b,51 Peg,4.230785,0.0527,14.3,146.2018,,,5758.0,1.17561,1.03,Radial Velocity,1995.0,0,15.4614
55 Cnc B b,55 Cnc B,6.7994,0.044,1.69,3.5,,,3286.0,0.274,0.26,Radial Velocity,2025.0,0,12.4773
55 Cnc B c,55 Cnc B,33.747,0.13,2.16,5.3,,,3286.0,0.274,0.26,Radial Velocity,2025.0,0,12.4773
55 Cnc b,55 Cnc,14.651552,0.118,13.9,263.9785,,700.0,5198.0,0.98,1.015,Radial Velocity,1996.0,0,12.5855
55 Cnc c,55 Cnc,44.3936,0.247,8.51,54.4738,,,5198.0,0.98,1.015,Radial Velocity,2004.0,0,12.5855
55 Cnc d,55 Cnc,4799.0,5.6,13.0,1232.493,,,5198.0,0.98,1.015,Radial Velocity,2002.0,0,12.5855
55 Cnc e,55 Cnc,0.7365474,0.01544,1.875,7.99,2657.8322,1958.0,5172.0,0.943,0.905,Radial Velocity,2004.0,0,12.5855
55 Cnc f,55 Cnc,260.58,0.802,7.59,44.812,,,5198.0,0.98,1.015,Radial Velocity,2007.0,0,12.5855
6 Lyn b,6 Lyn,919.86,2.028,13.4,597.83523357,,,4941.0,4.94,1.32,Radial Velocity,2008.0,0,54.6599
61 Vir b,61 Vir,4.215,0.050201,2.11,5.1,,,5577.0,0.963,0.942,Radial Velocity,2009.0,0,8.50332
61 Vir c,61 Vir,38.021,0.2175,4.46,18.2,,,5577.0,0.963,0.942,Radial Velocity,2009.0,0,8.50332
61 Vir d,61 Vir,123.01,0.476,5.11,22.9,,,5577.0,0.963,0.942,Radial Velocity,2009.0,0,8.50332
7 CMa b,7 CMa,735.1,1.758,13.4,587.9855,,,4826.0,4.87,1.34,Radial Velocity,2011.0,0,19.8101
7 CMa c,7 CMa,996.0,2.153,13.9,276.5121,,,4826.0,4.87,1.34,Radial Velocity,2019.0,0,19.8101
70 Vir b,70 Vir,116.688,0.481,12.6,2380.45,,,5495.0,1.89,1.09,Radial Velocity,1996.0,0,17.9011
75 Cet b,75 Cet,696.62,1.912,13.3,787.89662095,,,4809.0,10.38,1.92,Radial Velocity,2012.0,0,82.9613
75 Cet c,75 Cet,2051.62,3.929,13.9,289.85950718,,,4809.0,10.38,1.92,Radial Velocity,2023.0,0,82.9613
8 UMi b,8 UMi,93.31,0.462,13.5,524.41687155,,,4847.0,10.73,1.51,Radial Velocity,2015.0,0,162.552
81 Cet b,81 Cet,1005.57,2.104,13.1,1051.05854195,,,4734.0,11.21,1.23,Radial Velocity,2008.0,0,101.26
91 Aqr b,91 Aqr,181.4,0.7,13.1,1017.0,,,4665.0,11.0,1.4,Radial Velocity,2013.0,0,44.0304
AF Lep b,AF Lep,8905.0,8.996,13.0,1147.36054927,,1400.0,6140.0,1.25,1.218,Imaging,2023.0,0,26.8564
AU Mic b,AU Mic,8.463446,0.07,4.79,8.99,21.2,554.8,3540.0,0.862,0.635,Transit,2020.0,0,9.7221
AU Mic c,AU Mic,18.859023,0.119,2.79,14.46,7.3,424.7,3540.0,0.862,0.635,Transit,2021.0,0,9.7221
BD+03 2562 b,BD+03 2562,481.9,1.3,12.7,2034.112,,,4095.0,32.35,1.14,Radial Velocity,2017.0,0,1070.63
BD+05 4868 A b,BD+05 4868 A,1.271869,0.0208,,6.2,,1820.0,4596.0,0.69,0.7,Transit,2025.0,0,43.5687
BD+14 4559 b,BD+14 4559,268.94,0.78,13.8,330.5432,,,4864.0,0.86,0.49,Radial Velocity,2009.0,0,49.352
BD+15 2375 b,BD+15 2375,153.22,0.576,13.8,337.21763,,,4649.0,8.95,1.08,Radial Velocity,2016.0,0,768.045
BD+15 2940 b,BD+15 2940,137.48,0.539,13.7,352.78,,,4796.0,14.7,1.1,Radial Velocity,2013.0,0,426.42
BD+20 2457 b,BD+20 2457,379.63,1.45,12.1,6807.63,,,4137.0,49.0,2.8,Radial Velocity,2009.0,0,1539.71
BD+20 2457 c,BD+20 2457,621.99,2.01,12.4,3963.17,,,4137.0,49.0,2.8,Radial Velocity,2009.0,0,1539.71
BD+20 274 b,BD+20 274,578.2,1.3,13.0,1334.886,,,4296.0,17.3,0.8,Radial Velocity,2012.0,0,1322.51
BD+20 594 b,BD+20 594,41.6855,0.241,2.57807,22.2481,,546.0,5766.0,1.08,1.67,Transit,2016.0,0,179.461
BD+37 3172 b,BD+37 3172,1887.76,4.65,12.4,3368.9811142,,,4500.0,50.24,3.75,Radial Velocity,2023.0,0,454.251
BD+42 2315 b,BD+42 2315,123.05,0.54,14.2,174.80562385,,,4500.0,17.85,1.38,Radial Velocity,2023.0,0,610.715
BD+45 564 b,BD+45 564,307.88,0.83,13.6,432.24663352,,,5004.0,0.813064,0.81,Radial Velocity,2021.0,0,53.622
BD+48 738 b,BD+48 738,392.6,1.0,13.9,289.2253,,,4414.0,11.0,0.74,Radial Velocity,2011.0,0,871.493
BD+48 740 b,BD+48 740,733.0,1.7,13.5,540.311,,,4534.0,10.33,1.09,Radial Velocity,2018.0,0,666.589
BD+49 828 b,BD+49 828,2590.0,4.2,13.5,508.5,,,4943.0,7.6,1.52,Radial Velocity,2015.0,0,442.042
BD+55 362 b,BD+55 362,265.59,0.78,14.0,228.83645304,,,5012.0,0.896193,0.909,Radial Velocity,2021.0,0,52.5697
BD+60 1417 b,BD+60 1417,,1662.0,14.68376472,4767.426105,,1303.0,4993.0,0.797,1.0,Imaging,2021.0,0,44.9543
BD+63 1405 b,BD+63 1405,1198.48,2.06,12.4,3305.4154328,,,5000.0,0.804724,0.816,Radial Velocity,2021.0,0,38.0473
BD-06 1339 c,BD-06 1339,125.94,0.435,8.38,53.0,,,4324.0,0.686355,0.7,Radial Velocity,2013.0,0,20.2695
BD-08 2823 c,BD-08 2823,237.6,0.68,12.5,104.0,,,4746.0,0.71,0.74,Radial Velocity,2009.0,0,41.3342
BD-10 3166 b,BD-10 3166,3.48777,0.04,14.1,187.5197,,,5393.0,0.91,1.47,Radial Velocity,2000.0,0,84.4069
BD-11 4672 b,BD-11 4672,1634.0,2.36,14.1,206.5895,,,4550.0,0.639,0.651,Radial Velocity,2014.0,0,27.1665
BD-11 4672 c,BD-11 4672,74.2,0.3,4.04,15.37,,,4550.0,0.639,0.651,Radial Velocity,2020.0,0,27.1665
BD-13 2130 b,BD-13 2130,714.29999,1.66,12.5,3108.3774,,,4545.0,19.17,2.12,Radial Velocity,2007.0,0,925.214
BD-14 3065 b,BD-14 3065 A,4.2889731,0.0656,21.59,3932.0,646.761,2001.0,6935.0,2.35,1.41,Transit,2024.0,0,589.423
BD-17 63 b,BD-17 63,655.57,1.34,12.8,1639.99458012,,,4714.0,0.74,0.741,Radial Velocity,2008.0,0,34.4603
BD-210397 b,BD-210397,1891.0,2.63,14.0,214.0,0.02,,4051.0,0.747,0.679,Radial Velocity,2023.0,0,23.7324
BD-210397 c,BD-210397,6240.0,5.9,12.9,1525.5763536,0.0039,,4051.0,0.747,0.69,Radial Velocity,2023.0,0,23.7324
BEBOP-3 b,BEBOP-3,547.0,1.444,14.2,177.34825111,,,6033.0,1.414,1.083,Radial Velocity,2025.0,0,119.052
Barnard b,Barnard's star,3.1542,0.0229,0.72,0.299,6.76,438.0,3195.0,0.185,0.162,Radial Velocity,2024.0,0,1.82655
Barnard c,Barnard's star,4.1244,0.0274,0.743,0.335,,400.0,3195.0,0.185,0.162,Radial Velocity,2025.0,0,1.82655
Barnard d,Barnard's star,2.3402,0.0188,0.694,0.263,,483.0,3195.0,0.185,0.162,Radial Velocity,2025.0,0,1.82655
Barnard e,Barnard's star,6.7392,0.0381,0.637,0.193,,340.0,3195.0,0.185,0.162,Radial Velocity,2025.0,0,1.82655
CD Cet b,CD Cet,2.2907,0.0185,1.82,3.95,8.6,464.0,3130.0,0.175,0.161,Radial Velocity,2020.0,0,8.60715
CD-35 2722 b,CD-35 2722,,67.0,17.37392009,9375.9380065,,1800.0,3689.0,0.558549,0.4,Imaging,2011.0,0,22.3896
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,10037.5,2.6,12.4,3337.1,,370.0,580.5,,0.021,Imaging,2011.0,0,23.1
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,8040000.0,200.0,20.8487041,2479.0615746,,1800.0,2320.0,0.245,0.0147,Imaging,2021.0,0,
CI Tau c,CI Tau,25.2,0.17,13.0,1144.1822652,,,3807.0,1.880857,0.9,Radial Velocity,2024.0,0,157.998
COCONUTS-2 b,COCONUTS-2 A,402000000.0,7506.0,12.44196858,2542.627256,,434.0,3406.0,0.388,0.37,Imaging,2021.0,0,10.8864
CoRoT-1 b,CoRoT-1,1.5089557,0.02752,16.7,327.35,2852.63,1898.0,5950.0,1.11,0.95,Transit,2008.0,0,787.909
CoRoT-10 b,CoRoT-10,13.2406,0.1055,10.87,874.0,16.1089,600.0,5075.0,0.79,0.89,Transit,2010.0,0,338.386
CoRoT-11 b,CoRoT-11,2.99433,0.0436,16.03,740.51,1890.649,1657.0,6440.0,1.37,1.27,Transit,2010.0,0,655.037
CoRoT-12 b,CoRoT-12,2.828042,0.04016,16.14,291.438,661.1334,1442.0,5675.0,1.116,1.078,Transit,2010.0,0,1126.37
CoRoT-13 b,CoRoT-13,4.03519,0.051,9.92,415.704,546.5339,1700.0,5945.0,1.01,1.09,Transit,2010.0,0,1148.93
CoRoT-14 b,CoRoT-14,1.51214,0.027,12.22,2415.4,,1952.0,6035.0,1.21,1.13,Transit,2010.0,0,1744.6
CoRoT-16 b,CoRoT-16,5.35227,0.0618,13.11,170.032,,,5650.0,1.19,1.098,Transit,2011.0,0,732.409
CoRoT-17 b,CoRoT-17,3.7681,0.0461,11.43,772.29,,1626.0,5740.0,1.59,1.04,Transit,2011.0,0,1176.12
CoRoT-18 b,CoRoT-18,1.9000693,0.0295,14.68,1102.82,823.7009,1550.0,5440.0,1.0,0.95,Transit,2011.0,0,764.889
CoRoT-19 b,CoRoT-19,3.89713,0.0518,14.46,352.78,1103.809,2000.0,6090.0,1.65,1.21,Transit,2011.0,0,790.663
CoRoT-2 b,CoRoT-2,1.7429935,0.02798,16.432,1102.82,932.9076,1521.0,5625.0,0.906,0.96,Transit,2008.0,0,213.283
CoRoT-20 b,CoRoT-20,9.24285,0.09,9.41556,1366.669,180.8704,1024.0,5880.0,1.02,1.14,Transit,2011.0,0,844.061
CoRoT-20 c,CoRoT-20,1675.0,2.9,12.2,5403.11,,,5880.0,1.02,1.14,Radial Velocity,2018.0,0,844.061
CoRoT-21 b,CoRoT-21,2.72474,0.0417,14.5717,718.2958,,,6200.0,1.95,1.29,Transit,2012.0,0,1398.83419686
CoRoT-22 b,CoRoT-22,9.75598,0.092,4.88,12.2,,885.0,5939.0,1.136,1.099,Transit,2014.0,0,627.158
CoRoT-23 b,CoRoT-23,3.6313,0.048,11.77,889.9,,1660.0,5900.0,1.61,1.14,Transit,2011.0,0,1060.97
CoRoT-24 b,CoRoT-24,5.1134,0.056,3.7,5.7,,1070.0,4950.0,0.86,0.91,Transit,2014.0,0,591.555
CoRoT-24 c,CoRoT-24,11.759,0.098,5.0,28.0,,850.0,4950.0,0.86,0.91,Transit,2014.0,0,591.555
CoRoT-25 b,CoRoT-25,4.86069,0.0578,12.11,85.81,,1330.0,6040.0,1.19,1.09,Transit,2013.0,0,1103.48
CoRoT-26 b,CoRoT-26,4.20474,0.0526,14.12,165.26,,1600.0,5590.0,1.79,1.09,Transit,2013.0,0,1045.18
CoRoT-27 b,CoRoT-27,3.57532,0.0476,11.287,3302.11,,1500.0,5900.0,1.08,1.05,Transit,2014.0,0,1010.28
CoRoT-28 b,CoRoT-28,5.20851,0.0603,10.704595,153.82972,,,5150.0,1.78,1.01,Transit,2015.0,0,766.183
CoRoT-29 b,CoRoT-29,2.85057,0.0386,10.0881,270.1555,,,5260.0,0.9,0.97,Transit,2015.0,0,806.507
CoRoT-3 b,CoRoT-3,4.2568,0.05783,11.32,6883.91,,1695.0,6740.0,1.56,1.37,Transit,2008.0,0,768.771
CoRoT-30 b,CoRoT-30,9.06005,0.0844,11.309881,921.707,,,5650.0,0.91,0.98,Transit,2020.0,0,1032.23
CoRoT-31 b,CoRoT-31,4.62941,0.0586,16.36514,266.9772,,,5700.0,2.15,1.25,Transit,2020.0,0,2005.76
CoRoT-32 b,CoRoT-32,6.71837,0.071,6.38913,47.6745,132.26,938.0,5970.0,0.79,1.08,Transit,2018.0,0,576.683
CoRoT-35 b,CoRoT-35,3.22748,0.0429,18.83108758,349.6112477,,1747.0,6390.0,1.65,1.01,Transit,2022.0,0,1123.21
CoRoT-36 b,CoRoT-36,5.616531,0.066,15.80466279,216.12331676,,1567.0,6730.0,1.52,1.32,Transit,2022.0,0,925.958
CoRoT-4 b,CoRoT-4,9.20205,0.09,13.34,228.83,203.9517,1074.0,6190.0,1.17,1.16,Transit,2008.0,0,726.412
CoRoT-5 b,CoRoT-5,4.0378962,0.04947,15.558,148.42,786.2949,1438.0,6100.0,1.186,1.0,Transit,2009.0,0,882.472
CoRoT-6 b,CoRoT-6,8.886593,0.0855,13.068,940.74,,1017.0,6090.0,1.025,1.05,Transit,2009.0,0,645.294
CoRoT-7 b,CoRoT-7,0.85359163,0.017016,1.68135,4.07660518,,1756.0,5275.0,0.83,0.82,Transit,2009.0,0,159.906
CoRoT-7 c,CoRoT-7,3.698,0.046,2.83,8.4,,,5256.0,0.864273,0.899,Radial Velocity,2009.0,0,159.906
CoRoT-8 b,CoRoT-8,6.21229,0.063,6.39,69.92,,870.0,5080.0,0.77,0.88,Transit,2010.0,0,322.037
CoRoT-9 b,CoRoT-9,95.272656,0.4021,11.948794,266.9772,,420.0,5625.0,0.96,0.96,Transit,2009.0,0,412.98
DE CVn b,DE CVn,4098.1,5.75,12.4,3823.27330161,,,3579.0,0.424754,0.51,Eclipse Timing Variations,2018.0,1,30.5225
DH Tau b,DH Tau,,330.0,30.2643,3496.0,,2200.0,4371.0,0.27,0.33,Imaging,2004.0,0,134.846
DMPP-1 b,DMPP-1,17.812,0.1423,4.26,16.8,,877.0,6196.0,1.26,1.21,Radial Velocity,2019.0,0,62.5388
DMPP-1 c,DMPP-1,10.03,0.0973,3.31,10.94,,1239.0,6196.0,1.26,1.21,Radial Velocity,2019.0,0,62.5388
DMPP-1 d,DMPP-1,3.1417,0.04467,2.02,4.72,,1632.0,6196.0,1.26,1.21,Radial Velocity,2019.0,0,62.5388
DMPP-1 e,DMPP-1,5.516,0.0651,1.86,4.13,,1314.0,6196.0,1.26,1.21,Radial Velocity,2019.0,0,62.5388
DMPP-2 b,DMPP-2,5.203,0.06638,14.2,171.48,,1000.0,6500.0,1.78,1.41,Radial Velocity,2019.0,0,137.94
DMPP-2 c,DMPP-2,3.168,0.04789,8.26,51.79,,,6500.0,1.78,1.41,Radial Velocity,2026.0,0,137.94
DMPP-2 d,DMPP-2,16.491,0.1432,11.6,91.79,,,6500.0,1.78,1.41,Radial Velocity,2026.0,0,137.94
DMPP-3 A b,DMPP-3 A,5.59,0.05958,1.44,2.67,,854.0,5138.0,0.91,0.9,Radial Velocity,2019.0,0,46.8917
DMPP-4 b,DMPP-4,3.4982,0.04853,3.53,12.2,,,6400.0,1.38,1.25,Radial Velocity,2023.0,0,25.3284
DMPP-6 b,DMPP-6,7.6027,0.0779,2.28,5.8,,,6182.09,1.27,1.079,Radial Velocity,2026.0,0,54.6303
DMPP-6 c,DMPP-6,36.441,0.2206,3.74,13.47,,,6182.09,1.27,1.079,Radial Velocity,2026.0,0,54.6303
DMPP-7 b,DMPP-7,4.984,0.05873,9.13,61.39,,,5996.82,1.53949,1.09,Radial Velocity,2026.0,0,101.386
DMPP-8 b,DMPP-8,62.915,0.3098,10.8,81.09,,,6009.0,1.24,0.99,Radial Velocity,2026.0,0,76.1335
DMPP-9 b,DMPP-9,12.733,0.1097,3.89,14.43,,,6092.0,1.26,1.1,Radial Velocity,2026.0,0,109.539
DP Leo b,DP Leo,10220.0,8.19,12.7,1995.88832,,,13500.0,0.0115,0.69,Eclipse Timing Variations,2009.0,0,305.684
DS Tuc A b,DS Tuc A,8.138268,,5.7,413.179,115.8276,850.0,5428.0,0.964,1.01,Transit,2019.0,0,44.0622
EPIC 201170410.02,EPIC 201170410,6.7987,0.0349,1.047,1.15,,,3648.0,0.282,0.287,Transit,2020.0,0,134.0
EPIC 201595106 b,EPIC 201595106,0.87724,0.0177,1.565,7.67,2852.0,2038.0,5679.0,0.98,0.958,Transit,2021.0,0,232.1
EPIC 201757695.02,EPIC 201757695,2.0478,0.0296,0.90819,0.688,,,4520.0,0.655,0.727,Transit,2020.0,0,577.6
EPIC 201841433 b,EPIC 201841433,4.1698,0.035,1.04,1.12,,,5053.0,0.628461,0.802,Transit,2019.0,0,436.488
EPIC 205950854 c,K2-168,8.050722,,1.31,2.27,,960.6,5502.7,0.83,0.877,Transit,2019.0,0,243.935
EPIC 211822797 b,EPIC 211822797,21.1701963,0.1195,1.92,4.35,3.5,431.0,4057.0,0.58,0.62,Transit,2016.0,0,186.197
EPIC 211945201 b,EPIC 211945201,19.49221,0.1493,5.76,11.0,101.0,817.0,6069.0,1.39,1.17,Transit,2018.0,0,181.69
EPIC 212297394 b,EPIC 212297394,2.289363,,1.48,2.79,,1149.0,5171.0,0.8,0.83,Transit,2019.0,0,418.395
EPIC 212297394 c,EPIC 212297394,5.213965,,2.27,5.77,,866.0,5171.0,0.8,0.83,Transit,2021.0,0,418.395
EPIC 212587672 b,EPIC 212587672,15.28078,,1.26,2.13,,756.0,6004.0,0.98,0.99,Transit,2019.0,0,320.07
EPIC 212587672 c,EPIC 212587672,23.228555,,2.32,5.99,,658.0,6004.0,0.98,0.99,Transit,2021.0,0,320.07
EPIC 212737443 b,EPIC 212737443,13.603,0.098,2.586,7.2,,536.0,4684.0,0.673,0.69,Transit,2019.0,0,336.25
EPIC 212737443 c,EPIC 212737443,65.55,0.28,2.69,7.7,,316.0,4684.0,0.673,0.69,Transit,2019.0,0,336.25
EPIC 220674823 b,EPIC 220674823,0.57130782,0.0132,1.606,7.54,4656.0,2324.0,5578.0,0.99,0.913,Transit,2016.0,0,244.59
EPIC 220674823 c,EPIC 220674823,13.340603,0.1078,2.712,7.9,70.0,838.0,5578.0,0.99,0.913,Transit,2016.0,0,244.59
EPIC 228836835 b,EPIC 228836835,0.728113,,1.1,1.37,,932.0,3782.0,0.32,0.418179,Transit,2021.0,0,150.124
EPIC 229004835 b,EPIC 229004835,16.141132,0.1237,2.332,10.4,69.7,804.0,5868.0,0.999,0.97,Transit,2023.0,0,121.971
EPIC 246851721 b,EPIC 246851721,6.180235,0.07229,11.780659,953.49,642.0,1401.0,6202.0,1.586,1.317,Transit,2018.0,0,372.632
EPIC 248847494 b,EPIC 248847494,3650.0,4.5,12.44199,4131.79,0.19,183.0,4898.0,2.7,0.9,Transit,2018.0,0,551.886
EPIC 249893012 b,EPIC 249893012,3.5951,0.047,1.95,8.75,1037.0,1616.0,5430.0,1.71,1.05,Transit,2020.0,0,321.296
EPIC 249893012 c,EPIC 249893012,15.624,0.13,3.67,14.67,160.0,990.0,5430.0,1.71,1.05,Transit,2020.0,0,321.296
EPIC 249893012 d,EPIC 249893012,35.747,0.22,3.94,10.18,53.0,752.0,5430.0,1.71,1.05,Transit,2020.0,0,321.296
G 192-15 b,G 192-15,2.27476,0.01723,1.02,1.03,7.06,453.6,2999.0,0.170718,0.132,Radial Velocity,2025.0,0,9.53114
G 192-15 c,G 192-15,1219.0,1.137,3.87,14.3,0.0016,55.9,2999.0,0.170718,0.132,Radial Velocity,2025.0,0,9.53114
G 196-3 b,G 196-3,,350.0,12.0,8263.538582,,1670.0,3517.0,0.522432,0.519782,Imaging,2024.0,0,21.7912
G 261-6 b,G 261-6,5.4536,0.02971,1.1,1.37,1.8,322.3,2907.0,0.153162,0.118,Radial Velocity,2025.0,0,10.6267
G 264-012 b,G 264-012,2.30538,0.02279,1.39,2.5,20.5,587.0,3326.0,0.305,0.297,Radial Velocity,2021.0,0,16.009
G 264-012 c,G 264-012,8.0518,0.0525,1.76,3.75,3.87,387.0,3326.0,0.305,0.297,Radial Velocity,2021.0,0,16.009
G 268-110 b,G 268-110,1.43263,0.01283,1.13,1.52,13.57,534.0,,0.177,0.137,Radial Velocity,2025.0,0,
G 9-40 b,G 9-40,5.7459982,0.0418,1.9,4.0,6.27,440.6,3395.0,0.3026,0.2952,Transit,2019.0,0,27.9276
GJ 1002 b,GJ 1002,10.3465,0.0457,1.03,1.08,0.67,230.9,3024.0,0.137,0.12,Radial Velocity,2022.0,0,4.84867
GJ 1002 c,GJ 1002,21.202,0.0738,1.1,1.36,0.257,181.7,3024.0,0.137,0.12,Radial Velocity,2022.0,0,4.84867
GJ 1061 b,GJ 1061,3.2073,0.021,1.04,1.11,3.8,,2953.0,0.156,0.12,Radial Velocity,2020.0,0,3.67278
GJ 1061 c,GJ 1061,6.6821,0.0342,1.19,1.81,1.4,,2953.0,0.156,0.12,Radial Velocity,2020.0,0,3.67278
GJ 1061 d,GJ 1061,13.066,0.054,1.16,1.67,0.6,,2953.0,0.156,0.12,Radial Velocity,2020.0,0,3.67278
GJ 1132 b,GJ 1132,1.62892911,0.0157,1.19151465,1.83704819,19.3,583.8,3229.0,0.2211,0.1945,Transit,2015.0,0,12.613
GJ 1132 c,GJ 1132,8.929,0.0476,1.43,2.64,,300.0,3270.0,0.2105,0.181,Radial Velocity,2018.0,0,12.613
GJ 1137 c,HD 93083,9.6412,0.0835,2.11,5.12,58.4,,5033.8,0.837,0.836,Radial Velocity,2026.0,0,28.5159
GJ 1148 b,GJ 1148,41.38,0.166,11.9,96.7,,,3287.0,0.358519,0.344045,Radial Velocity,2010.0,0,11.0143
GJ 1148 c,GJ 1148,532.58,0.912,9.71,68.06,,,3287.0,0.358519,0.344045,Radial Velocity,2017.0,0,11.0143
GJ 1151 c,GJ 1151,389.7,0.5714,3.25,10.62,,,3280.0,0.1781,0.1639,Radial Velocity,2023.0,0,8.03625
GJ 1214 b,GJ 1214,1.580404531,0.01505,2.733,8.41,17.2,567.0,3101.0,0.2162,0.182,Transit,2009.0,0,14.6427
GJ 1252 b,GJ 1252,0.5182331,0.00915,1.193,1.32,233.0,1089.0,3458.0,0.391,0.381,Transit,2020.0,0,20.373
GJ 1265 b,GJ 1265,3.6511,0.026,2.63,7.4,,,3236.0,0.192,0.178,Radial Velocity,2018.0,0,10.2525
GJ 1289 b,GJ 1289,111.74,0.27,2.38,6.27,,150.0,3296.0,0.245012,0.21,Radial Velocity,2024.0,0,8.35147
GJ 143 b,GJ 143,35.61253,0.1915,2.61,22.7,7.0423,422.0,4640.0,0.695,0.73,Transit,2019.0,0,16.32
GJ 15 A b,GJ 15 A,11.4407,0.072,1.55,3.03,,550.0,3607.0,0.38,0.38,Radial Velocity,2014.0,1,3.56228
GJ 15 A c,GJ 15 A,7600.0,5.4,6.67,36.0,,,3607.0,0.38,0.38,Radial Velocity,2018.0,0,3.56228
GJ 160.2 b,GJ 160.2,5.2354,0.053,3.17,10.2,,,4347.0,0.655173,0.69,Radial Velocity,2014.0,0,25.8557
GJ 163 b,GJ 163,8.63182,0.0607,3.25,10.6,,,3500.0,0.409738,0.4,Radial Velocity,2013.0,0,15.1285
GJ 163 c,GJ 163,25.63058,0.1254,2.5,6.8,,,3500.0,0.409738,0.4,Radial Velocity,2013.0,0,15.1285
GJ 163 d,GJ 163,603.95116,1.0304,5.92,29.4,,,3500.0,0.409738,0.4,Radial Velocity,2013.0,0,15.1285
GJ 179 b,GJ 179,2288.0,2.41,13.8,301.93698665,,,3370.0,0.38,0.357,Radial Velocity,2009.0,0,12.356
GJ 180 b,GJ 180,17.133,0.092,2.43,6.49,,,3371.0,0.413049,0.43,Radial Velocity,2014.0,0,11.9407
GJ 180 c,GJ 180,24.329,0.129,2.41,6.4,,,3371.0,0.413049,0.43,Radial Velocity,2014.0,0,11.9407
GJ 180 d,GJ 180,106.3,0.309,2.66,7.56,,,3371.0,0.413049,0.43,Radial Velocity,2020.0,0,11.9407
GJ 2030 b,GJ 2030,2.38129,0.034,2.03,4.76742611,,,5485.0,2.24104,0.96,Radial Velocity,2022.0,0,37.0788
